straightforwardness 1         19
elapsed             2         7
efforts             5         7
effects             3         7
editors             2         7
edition             19        7
economy             2         7
eastern             1         7
earnest             1         7
earlier             9         7
dynasty             29        7
duelist             1         7
dubious             1         7
dryness             1         7
dropped             1         7
driving             3         7
drilled             1         7
draught             1         7
drained             2         7
donkeys             3         7
divided             7         7
disturb             1         7
distant             1         7
dispute             3         7
display             7         7
disobey             2         7
dislike             1         7
disgust             1         7
disease             1         7
discuss             5         7
discern             2         7
dipping             1         7
diffuse             1         7
differs             1         7
diction             1         7
dictate             1         7
devoted             5         7
devolve             1         7
devises             1         7
devised             2         7
devious             1         7
devices             3         7
develop             3         7
details             6         7
destroy             10        7
despise             2         7
despair             2         7
designs             4         7
deserve             1         7
deserts             1         7
descent             1         7
derived             5         7
depends             6         7
density             1         7
demands             1         7
deliver             8         7
degrees             1         7
defines             6         7
defined             4         7
defiles             3         7
defense             14        7
defeats             2         7
deepest             1         7
decreed             1         7
decided             4         7
deceive             4         7
debased             1         7
dealing             3         7
daytime             1         7
dashing             1         7
dangers             3         7
damages             2         7
damaged             1         7
cutting             6         7
customs             1         7
current             3         7
cunning             3         7
culture             1         7
culprit             1         7
crushed             5         7
cruelty             2         7
crudely             1         7
crosses             3         7
crossed             3         7
critics             2         7
created             3         7
coyness             1         7
cowered             1         7
cowards             3         7
coveted             1         7
covered             5         7
courage             21        7
country             45        7
counter             3         7
counted             1         7
counsel             5         7
council             3         7
corrupt             1         7
correct             4         7
corpses             1         7
copying             4         7
copious             3         7
cooking             4         7
convert             1         7
control             9         7
context             4         7
content             6         7
contain             8         7
contact             4         7
consist             1         7
consent             1         7
conquer             16        7
connect             1         7
conform             1         7
conduct             4         7
conduce             1         7
concise             3         7
concern             1         7
concept             2         7
conceit             1         7
conceal             4         7
compare             3         7
company             2         7
comment             3         7
command             15        7
comfort             2         7
columns             1         7
colored             1         7
collect             3         7
collate             1         7
clothes             1         7
clothed             1         7
closely             5         7
cloaked             1         7
climbed             1         7
climate             1         7
clearly             8         7
classic             4         7
classes             4         7
claimed             1         7
chiefly             2         7
chariot             6         7
charges             1         7
charged             2         7
chapter             28        7
changes             1         7
changed             3         7
chances             7         7
chamber             1         7
certain             29        7
century             19        7
central             1         7
cavalry             4         7
caution             3         7
carries             4         7
carried             9         7
carping             1         7
careful             6         7
capture             12        7
captain             3         7
capital             9         7
capable             3         7
calling             2         7
caliber             1         7
cajoled             1         7
burying             1         7
burning             2         7
bundles             1         7
bulwark             3         7
bullion             1         7
brushed             1         7
brought             17        7
brother             2         7
brocade             1         7
briefly             2         7
bridges             1         7
bribery             1         7
brevity             2         7
breadth             1         7
brazier             1         7
bracing             1         7
boyhood             1         7
bounded             1         7
bookish             1         7
bluster             1         7
blurted             1         7
blunted             1         7
blunder             1         7
blowing             3         7
blooded             1         7
blocked             1         7
blindly             1         7
blended             3         7
blazing             1         7
bidding             2         7
between             32        7
besiege             2         7
besides             6         7
benefit             5         7
beneath             2         7
bending             1         7
beloved             1         7
belongs             2         7
believe             8         7
becomes             3         7
because             32        7
beating             4         7
battles             14        7
bathing             1         7
barring             1         7
bargain             1         7
banquet             1         7
banners             7         7
banging             1         7
baneful             1         7
baleful             2         7
balance             1         7
baggage             5         7
baffled             1         7
backing             1         7
awkward             4         7
avoided             1         7
authors             2         7
austere             1         7
augment             1         7
attempt             14        7
attacks             21        7
assured             2         7
assigns             1         7
assault             4         7
ashamed             1         7
arrived             7         7
arrival             2         7
arrayed             1         7
arrange             1         7
arraign             1         7
arouses             1         7
armored             1         7
arising             1         7
archers             1         7
archaic             1         7
arbiter             1         7
aquatic             1         7
approve             2         7
applies             1         7
applied             5         7
appears             22        7
appeals             1         7
anybody             1         7
anxious             9         7
anxiety             1         7
another             19        7
animals             3         7
angrily             1         7
ancient             11        7
anarchy             1         7
amusing             1         7
amongst             16        7
already             25        7
alludes             8         7
alluded             2         7
allowed             10        7
alleged             2         7
alarmed             2         7
against             84        7
affairs             3         7
adviser             1         7
advance             23        7
adopted             3         7
adheres             1         7
address             1         7
adapted             1         7
actions             3         7
acquire             1         7
achieve             4         7
account             21        7
absence             2         7
abscess             1         7
abreast             1         7
abounds             2         7
ability             15        7
abandon             1         7
Yarkand             4         7
Wrongly             1         7
Written             1         7
Without             6         7
Wishing             1         7
Whoever             1         7
Whether             4         7
Whereas             1         7
Western             1         7
Weapons             2         7
Warring             2         7
Violent             1         7
Victory             4         7
Vanilla             2         7
Updated             1         7
Unhappy             1         7
Turning             2         7
Turkish             1         7
Turenne             6         7
Towards             1         7
Through             2         7
Teacher             1         7
TESTUDO             1         7
TERRAIN             1         7
TACTICS             1         7
Suppose             1         7
Success             1         7
Stellar             1         7
Special             1         7
Soochow             1         7
Shortly             1         7
Several             3         7
Service             1         7
Section             7         7
Science             2         7
Royalty             2         7
Roberts             2         7
Rewards             2         7
Revenue             1         7
Release             1         7
Raising             1         7
Project             84        7
Printed             2         7
Pretend             1         7
Preface             2         7
Poverty             1         7
Plataea             1         7
Perhaps             2         7
Pensees             1         7
Pelliot             1         7
Pegasus             1         7
PURPOSE             1         7
PROJECT             4         7
Neither             2         7
NUMBERS             1         7
Morally             1         7
Mission             1         7
Michael             2         7
Mencius             4         7
Marshal             3         7
Marquis             1         7
Marengo             1         7
Majesty             5         7
MENCIUS             1         7
License             10        7
Library             1         7
Lengthy             1         7
LIMITED             3         7
LICENSE             3         7
Knowing             2         7
Kiangsu             1         7
Khitans             1         7
January             1         7
Jackson             5         7
Implied             1         7
IMPLIED             1         7
However             6         7
Hostile             1         7
Homeric             1         7
History             1         7
HEIGHTS             1         7
Grounds             2         7
Grottos             1         7
Gregory             1         7
General             5         7
Gallico             1         7
Further             3         7
FITNESS             1         7
Equally             1         7
English             7         7
Emperor             23        7
Eastern             1         7
EXPRESS             1         7
ESPIRIT             1         7
Disturb             1         7
Despite             1         7
Defined             4         7
Defects             1         7
Decrees             1         7
DAMAGES             2         7
Country             1         7
Corrupt             1         7
Contact             1         7
Conform             1         7
Conceal             1         7
Compare             1         7
Clearly             1         7
Classic             1         7
Chinese             58        7
Chapter             6         7
Central             1         7
Caspian             1         7
Casinum             2         7
Captain             1         7
Buddhas             1         7
British             3         7
Bravery             1         7
Blucher             1         7
Between             1         7
Besides             4         7
Belgian             1         7
Because             8         7
Archive             13        7
Another             5         7
African             1         7
zipped              1         6
zenith              1         6
zenana              1         6
yellow              1         6
writes              1         6
writer              3         6
worthy              2         6
worked              2         6
wooden              3         6
wolves              1         6
within              16        6
wishes              7         6
wished              1         6
wisest              2         6
wisely              2         6
wisdom              6         6
winter              1         6
winded              1         6
widest              3         6
widely              3         6
wicked              1         6
wholly              6         6
whence              1         6
wheels              2         6
weight              5         6
weapon              1         6
wealth              2         6
weakly              1         6
weaker              2         6
weaken              4         6
waxing              2         6
waters              1         6
warned              1         6
warden              1         6
wanted              2         6
waning              2         6
walled              3         6
waited              3         6
wagons              3         6
waging              1         6
vulgar              1         6
volume              1         6
volley              1         6
virtue              2         6
viewed              1         6
victim              1         6
versed              3         6
verbal              1         6
vastly              2         6
varied              2         6
values              1         6
utmost              8         6
useful              5         6
upshot              1         6
uproar              1         6
uphold              1         6
uphill              1         6
upheld              1         6
unwise              1         6
unlink              1         6
unlike              2         6
unless              22        6
unjust              1         6
unites              1         6
united              5         6
unduly              1         6
unable              14        6
tyrant              1         6
twenty              4         6
twelve              1         6
turned              9         6
tunnel              1         6
tumult              1         6
trying              5         6
truths              1         6
troops              44        6
tripod              1         6
tricky              1         6
tricks              1         6
tribes              1         6
trials              1         6
treaty              2         6
trains              1         6
tracks              2         6
traced              1         6
topics              4         6
titles              1         6
timely              1         6
thwart              1         6
throws              1         6
thrown              6         6
throat              2         6
thrice              1         6
though              44        6
thorns              1         6
thirty              4         6
thirst              2         6
thirds              1         6
thinks              7         6
things              20        6
theory              9         6
tested              1         6
terror              2         6
termed              1         6
tenure              1         6
tenths              2         6
temple              6         6
temper              7         6
taught              2         6
tastes              1         6
tasted              1         6
talent              1         6
taking              17        6
tablet              1         6
system              6         6
swayed              1         6
swamps              2         6
survey              1         6
surest              1         6
surely              8         6
supply              5         6
sundry              2         6
summon              1         6
suited              2         6
suffer              8         6
sudden              7         6
sucked              2         6
succor              5         6
subtly              1         6
subtle              4         6
submit              3         6
subdue              1         6
styled              1         6
stupid              6         6
strung              2         6
struck              5         6
strong              23        6
stroke              1         6
strive              1         6
string              1         6
strike              10        6
strife              1         6
strict              3         6
stream              7         6
strain              2         6
stoves              1         6
stormy              1         6
stores              6         6
stored              2         6
stones              2         6
steeps              1         6
steals              1         6
steady              1         6
status              4         6
states              20        6
stated              6         6
starve              1         6
staple              1         6
stands              4         6
square              1         6
spying              3         6
spring              3         6
spread              3         6
sprang              1         6
spoken              2         6
spoilt              1         6
spoils              3         6
spleen              1         6
spirit              20        6
sphere              3         6
speech              2         6
spears              5         6
speaks              5         6
spared              1         6
source              1         6
sought              3         6
sortie              1         6
sooner              1         6
solely              3         6
snivel              1         6
snatch              3         6
slowly              1         6
slings              1         6
slight              3         6
single              16        6
simply              22        6
simple              3         6
simile              5         6
silver              4         6
signal              3         6
sieges              2         6
shrink              1         6
shrill              1         6
showed              1         6
shouts              1         6
should              112       6
sheets              1         6
shared              4         6
shapes              1         6
shaped              1         6
shamed              1         6
shakes              1         6
shabby              1         6
severe              2         6
settle              1         6
served              6         6
series              5         6
sequel              1         6
select              1         6
seized              4         6
seemed              1         6
seeing              5         6
secure              12        6
secret              17        6
second              12        6
seated              1         6
season              3         6
search              2         6
scouts              3         6
scored              1         6
school              2         6
scheme              1         6
scanty              2         6
saying              54        6
saving              1         6
sagely              1         6
safety              8         6
safely              1         6
rushes              3         6
rushed              2         6
ruined              1         6
rugged              2         6
routes              2         6
routed              9         6
roused              1         6
rolled              1         6
robust              1         6
robber              1         6
robbed              4         6
rivers              3         6
rising              6         6
riding              1         6
richly              1         6
riches              2         6
reward              2         6
revolt              2         6
reveal              1         6
return              15        6
retire              3         6
retain              2         6
result              15        6
resort              3         6
resent              1         6
rescue              1         6
repute              1         6
report              6         6
repeat              1         6
renown              1         6
render              5         6
remove              2         6
remiss              3         6
remark              2         6
remain              8         6
relies              2         6
relief              4         6
reject              1         6
regret              2         6
region              1         6
regard              15        6
refuse              2         6
refund              8         6
refuge              5         6
refers              6         6
reduce              1         6
record              3         6
recent              2         6
recall              1         6
rebels              6         6
reason              12        6
reared              1         6
really              8         6
reader              3         6
ravine              1         6
ravage              1         6
rather              18        6
raises              1         6
raised              8         6
raging              1         6
quotes              22        6
quoted              8         6
quarry              1         6
quaint              1         6
puzzle              1         6
pushed              1         6
pursue              6         6
purity              1         6
purely              1         6
punish              2         6
public              10        6
prying              1         6
proved              5         6
proper              14        6
prompt              1         6
profit              2         6
prince              7         6
prices              3         6
prefer              6         6
prayer              2         6
praise              2         6
powers              2         6
pounds              1         6
potent              1         6
posted              10        6
polite              1         6
policy              9         6
poison              3         6
points              23        6
plunge              1         6
plough              1         6
plight              4         6
plenty              3         6
please              1         6
played              2         6
plates              1         6
plants              1         6
plains              1         6
places              23        6
placed              8         6
pitted              1         6
piling              1         6
pieces              1         6
pieced              1         6
picked              5         6
phrase              7         6
phases              1         6
person              5         6
permit              1         6
perish              1         6
period              22        6
people              28        6
paying              2         6
patron              4         6
patent              1         6
passes              6         6
passed              9         6
parcel              1         6
parade              1         6
outran              1         6
outlet              2         6
outlay              1         6
ounces              5         6
others              19        6
orders              24        6
option              1         6
oppose              7         6
openly              3         6
onward              3         6
onrush              1         6
online              4         6
oldest              2         6
office              7         6
offers              4         6
occurs              3         6
occupy              9         6
obtain              7         6
object              15        6
obeyed              3         6
number              32        6
nuance              1         6
nowise              1         6
noting              2         6
notice              5         6
normal              1         6
nobody              1         6
nights              1         6
nicest              1         6
nerved              1         6
nephew              1         6
needed              1         6
nearly              2         6
nearer              3         6
nature              8         6
native              7         6
nation              3         6
narrow              12        6
namely              5         6
myself              5         6
mutual              3         6
mutiny              2         6
muster              1         6
muscle              1         6
moving              5         6
mouths              2         6
mounds              2         6
motive              1         6
motion              3         6
mother              3         6
mostly              1         6
mortal              1         6
morrow              1         6
morals              1         6
morale              1         6
months              4         6
moment              19        6
molest              1         6
modify              3         6
modest              1         6
modern              5         6
models              1         6
misses              1         6
misery              1         6
mighty              1         6
middle              6         6
method              9         6
merits              1         6
merely              15        6
mental              3         6
menace              2         6
medium              6         6
meager              1         6
maxims              5         6
matter              12        6
master              3         6
masses              1         6
marshy              1         6
market              3         6
marked              4         6
manual              1         6
manner              2         6
manned              1         6
manage              4         6
making              16        6
mainly              1         6
maiden              1         6
lumped              1         6
loving              1         6
lovely              1         6
loudly              1         6
losses              1         6
losing              3         6
looked              1         6
longer              5         6
loaded              1         6
living              4         6
little              13        6
listen              1         6
linked              2         6
linger              2         6
likely              14        6
lights              1         6
liable              2         6
letter              4         6
lesson              3         6
lesser              3         6
lessen              1         6
length              4         6
legend              1         6
leaves              3         6
learnt              1         6
leader              15        6
laying              3         6
lavish              1         6
launch              1         6
latter              19        6
latest              1         6
latent              1         6
larger              3         6
ladies              1         6
ladder              1         6
knolls              1         6
kindly              2         6
killed              3         6
junior              1         6
itself              13        6
issues              1         6
issued              1         6
island              1         6
inward              3         6
intent              1         6
intend              1         6
intact              3         6
insist              1         6
inside              5         6
innate              1         6
injury              3         6
injure              1         6
inform              1         6
infirm              1         6
induce              2         6
indeed              7         6
income              2         6
incite              1         6
import              2         6
impart              1         6
impair              1         6
impact              1         6
immune              1         6
imbued              1         6
ignore              1         6
hurled              2         6
hunger              1         6
humble              2         6
hubbub              1         6
housed              1         6
horses              10        6
honors              1         6
homage              1         6
hollow              1         6
holder              6         6
hinder              1         6
highly              5         6
higher              6         6
hiding              1         6
hidden              1         6
heroic              1         6
heroes              2         6
hemmed              9         6
helped              1         6
helmet              1         6
height              5         6
heaven              6         6
hearts              1         6
heaped              1         6
hazard              2         6
having              22        6
hatred              1         6
hasten              4         6
hardly              20        6
harass              1         6
happen              1         6
handle              6         6
handed              2         6
halted              1         6
hacked              1         6
guilty              1         6
guides              4         6
guided              1         6
guests              2         6
grudge              2         6
ground              100       6
greedy              2         6
grease              1         6
graves              1         6
govern              3         6
gorges              3         6
gloves              1         6
gloomy              1         6
giving              3         6
gifted              2         6
genius              4         6
gather              3         6
gallop              2         6
galaxy              1         6
gained              14        6
future              4         6
futile              3         6
fruits              1         6
fright              2         6
friend              3         6
freely              7         6
fourth              1         6
fought              4         6
foster              1         6
former              10        6
formed              6         6
format              4         6
forget              2         6
forged              1         6
forest              4         6
forces              28        6
forced              8         6
forbid              2         6
forays              1         6
forage              5         6
follow              17        6
fodder              2         6
flying              2         6
flowed              1         6
floods              1         6
flocks              1         6
flight              8         6
flanks              1         6
flames              4         6
flamed              1         6
fixity              2         6
firmly              1         6
finger              2         6
finest              1         6
filled              6         6
figure              4         6
fights              3         6
fierce              3         6
fickle              1         6
feudal              5         6
fellow              3         6
feeble              2         6
feared              2         6
favors              1         6
faults              3         6
fathom              1         6
father              8         6
famous              18        6
family              5         6
falter              1         6
fallen              6         6
falcon              3         6
fairly              3         6
failed              5         6
factor              2         6
facing              7         6
facile              6         6
extent              3         6
extant              6         6
expose              1         6
expend              1         6
expect              4         6
expand              1         6
exists              1         6
exempt              3         6
excess              1         6
except              7         6
excels              2         6
exceed              2         6
evades              1         6
esteem              1         6
essays              1         6
escape              8         6
errors              2         6
epochs              1         6
envoys              4         6
entrap              1         6
entity              3         6
entire              4         6
entice              4         6
enters              1         6
entail              2         6
ensure              8         6
ensues              1         6
ensued              1         6
enough              21        6
engage              5         6
energy              12        6
endure              1         6
encamp              2         6
enable              3         6
employ              6         6
eleven              2         6
elated              2         6
either              17        6
effort              6         6
effect              9         6
editor              2         6
edited              2         6
easily              5         6
eBooks              11        6
duties              2         6
during              7         6
dulled              1         6
drives              1         6
driven              2         6
dreamt              1         6
dragon              1         6
doubts              4         6
doubly              1         6
double              4         6
doomed              5         6
donors              1         6
donate              4         6
domain              7         6
docile              1         6
divine              2         6
divide              6         6
dismay              1         6
direct              14        6
dinner              1         6
dilate              1         6
digits              1         6
differ              2         6
dictum              1         6
devise              2         6
detail              2         6
detach              4         6
desire              3         6
design              2         6
desert              3         6
derive              1         6
depots              1         6
depend              1         6
denote              1         6
denied              1         6
demand              3         6
delude              1         6
delays              1         6
degree              2         6
defile              6         6
defies              1         6
defend              9         6
defect              4         6
defeat              29        6
deeply              3         6
decked              1         6
decide              1         6
deceit              1         6
decays              1         6
deaths              1         6
deadly              3         6
dating              1         6
dashed              2         6
daring              2         6
danger              11        6
damped              2         6
damage              3         6
dagger              3         6
custom              1         6
critic              1         6
crisis              2         6
crises              1         6
credit              6         6
create              2         6
crafty              1         6
coward              1         6
covert              1         6
course              19        6
couple              1         6
corner              1         6
copies              7         6
copied              2         6
coolly              1         6
convey              1         6
comply              6         6
compel              2         6
common              11        6
coming              8         6
column              2         6
colors              2         6
coarse              2         6
clouds              4         6
closes              3         6
closer              2         6
cliffs              2         6
clever              9         6
clause              3         6
cities              9         6
circle              2         6
choose              5         6
choice              2         6
chiefs              1         6
cheeks              1         6
checks              1         6
chasms              1         6
charge              10        6
change              4         6
chance              4         6
chains              1         6
center              1         6
ceased              3         6
causes              8         6
caused              3         6
caught              2         6
cattle              3         6
casual              1         6
career              1         6
canons              1         6
cannot              50        6
called              19        6
cajole              1         6
burned              2         6
buried              1         6
burden              1         6
brutal              1         6
bronze              1         6
broken              3         6
brings              4         6
bright              2         6
bridge              1         6
bribes              2         6
breeze              4         6
breast              2         6
breaks              2         6
breach              3         6
brazen              1         6
branch              1         6
brains              1         6
bottom              1         6
border              5         6
boldly              2         6
boiled              1         6
bodies              2         6
bodied              2         6
blocks              1         6
blades              1         6
bitter              3         6
binary              1         6
bigger              1         6
beyond              6         6
beware              1         6
better              14        6
betray              2         6
bereft              1         6
belong              3         6
beings              1         6
behind              13        6
behalf              1         6
begins              3         6
before              59        6
befall              1         6
become              10        6
became              4         6
beaten              3         6
beasts              2         6
beacon              1         6
battle              65        6
basins              1         6
barren              1         6
banner              3         6
bamboo              2         6
baffle              1         6
awaits              1         6
avoids              1         6
autumn              3         6
author              14        6
attain              1         6
attack              97        6
astray              1         6
assure              1         6
assume              2         6
assign              2         6
assets              1         6
assent              1         6
assail              1         6
aspect              1         6
asking              2         6
ascent              1         6
artful              3         6
arrows              6         6
arrive              6         6
armies              15        6
arises              1         6
ardent              1         6
appear              15        6
anyone              6         6
answer              7         6
annals              2         6
animal              1         6
anchor              1         6
amount              7         6
ambush              10        6
amazed              1         6
always              18        6
almost              8         6
allows              3         6
allies              7         6
allied              1         6
alight              1         6
aiming              1         6
agreed              3         6
agency              1         6
afresh              1         6
afraid              6         6
afford              2         6
affect              1         6
advice              4         6
advent              1         6
adopts              1         6
admits              1         6
adduce              1         6
adding              1         6
actual              7         6
active              5         6
action              8         6
acting              5         6
across              11        6
accord              6         6
access              11        6
accept              5         6
accent              1         6
abuses              1         6
abroad              2         6
abated              1         6
Yellow              6         6
Worthy              1         6
Whence              1         6
Wealth              1         6
WAGING              1         6
Valley              1         6
Unless              2         6
United              11        6
Twenty              1         6
Turkic              1         6
Turban              1         6
Trebia              1         6
Though              7         6
Terror              1         6
Sutton              1         6
Strike              1         6
States              16        6
Spring              2         6
Spells              1         6
Simply              1         6
Signal              1         6
Should              2         6
Shensi              2         6
Seeing              2         6
Secure              1         6
Second              1         6
Scheme              1         6
Samuel              1         6
Sacred              1         6
STRONG              1         6
STRICT              1         6
Romans              2         6
Regard              1         6
Refund              1         6
Reduce              1         6
Rather              1         6
REFUND              1         6
Public              1         6
Prince              2         6
Powell              3         6
Ponder              1         6
Plunge              1         6
Please              2         6
Peking              1         6
Peiwar              1         6
Palace              2         6
POINTS              1         6
PLEASE              1         6
PEOPLE              1         6
PASSES              1         6
Others              1         6
OLDEST              1         6
Ningpo              1         6
Nicias              1         6
Nelson              1         6
Nearly              1         6
Nature              1         6
Native              1         6
NOTICE              1         6
NARROW              1         6
Museum              2         6
Moltke              1         6
Method              1         6
Maxims              1         6
Master              1         6
Making              2         6
METHOD              1         6
London              1         6
Lionel              2         6
Lastly              1         6
LIONEL              1         6
LIABLE              1         6
LAYING              1         6
Kutcha              3         6
Khotan              4         6
Julius              1         6
Joseph              1         6
Jesuit              1         6
INWARD              1         6
Humble              1         6
Hsiung              13        6
Hsiang              9         6
Hiding              1         6
Heaven              8         6
Having              7         6
HEAVEN              1         6
Ground              9         6
Greeks              1         6
Gibbon              1         6
Garden              1         6
French              3         6
Fraser              1         6
Foment              1         6
Follow              1         6
Flight              1         6
Fierce              1         6
Father              2         6
Famous              1         6
Facing              1         6
Fabius              2         6
Fabian              1         6
FLIGHT              1         6
Except              2         6
Europe              3         6
Entice              1         6
Energy              3         6
Empire              10        6
Emerge              1         6
Eleven              1         6
Either              2         6
EXCEPT              1         6
ENERGY              1         6
EBooks              2         6
During              2         6
Domain              1         6
Direct              1         6
Defect              1         6
Danube              1         6
Danger              1         6
DOOMED              1         6
DIRECT              1         6
DAMAGE              1         6
